Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
8401,Nuclear Reactors,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.002,-1.208,1.008,1.765,271589129.18468183
8445,Textile Fiber Machinery,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.008,-1.451,1.061,1.768,288088165.95218635
7218,Stainless Steel Ingots,Iron & steel,Metals,2.021,2.816,0.004,-1.33,1.069,1.769,332672447.03682536
8601,Electric Locomotives,Railway and trams,Transportation,2.021,2.816,0.001,-1.254,1.029,1.769,100716090.08808765
9101,Precious Metal Watches,"Clocks, watches, & parts",Instruments,2.021,2.816,0.024,-1.997,0.964,1.775,1097060153.9108524
8449,Felt Machinery,"Machinery, mechanical appliances, & parts",Machines,2.021,2.816,0.006,-1.518,0.992,1.777,118899565.42223297
7004,Blown Glass,Glass & glassware,Stone And Glass,2.021,2.816,0.017,-1.912,1.026,1.784,54018160.08845701
8476,Vending Machines,"Machinery, mechanical appliances, & parts",Machines,2.025,2.82,0.646,1.325,0.772,0.571,67737803.97270668
6806,Rock Wool,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,2.025,2.82,0.406,1.209,0.806,0.933,267628064.27603886
8519,Sound Recording Equipment,Electrical machinery and electronics,Machines,2.025,2.82,0.446,-0.168,0.811,0.95,108536453.8464603
8539,Electric Filament,Electrical machinery and electronics,Machines,2.025,2.82,0.266,0.897,0.872,1.172,466109083.63339955
4816,Other Carbon Paper,Paper articles,Paper Goods,2.025,2.82,0.3,-0.798,0.866,1.218,33035908.823535595
4810,Kaolin Coated Paper,Paper articles,Paper Goods,2.025,2.82,0.048,-0.744,0.916,1.648,2133219550.8285499
