Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
7412,Copper Pipe Fittings,Copper articles,Metals,1.371,2.143,0.573,-0.268,1.178,0.764,271907529.7763812
7307,Iron Pipe Fittings,Iron/Steel Articles,Metals,1.371,2.143,0.502,0.762,1.241,0.812,955352486.1405526
4806,Vegetable Parchment,Paper articles,Paper Goods,1.371,2.143,0.51,-0.367,1.401,0.864,108795049.27465472
9013,LCDs,"Optical, photo, & film equipment; medical instruments",Instruments,1.371,2.143,0.54,-1.235,1.384,0.869,2172927490.7275653
5903,Plastic Coated Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.371,2.143,0.423,-0.29,1.525,0.993,668172676.0650885
8208,Cutting Blades,Tools & cutlery,Metals,1.371,2.143,0.35,0.397,1.614,1.067,187547586.94403523
8461,Metalworking Machines,"Machinery, mechanical appliances, & parts",Machines,1.371,2.143,0.263,-0.927,1.827,1.286,141636224.39315933
7415,Copper Fasteners,Copper articles,Metals,1.421,2.195,0.539,-1.577,1.241,0.89,65435334.03749503
7315,Iron Chains,Iron/Steel Articles,Metals,1.421,2.195,0.31,-0.0,1.56,1.154,337590321.55281085
2920,Other Esters,Organic chemicals,Chemical Products,1.421,2.195,0.365,-1.829,1.658,1.176,113460435.05736412
8101,Tungsten,Cermet articles,Metals,1.421,2.195,0.311,-0.526,1.588,1.183,72137656.98768441
3705,Developed Exposed Photographic Material,Photo & movie goods,Chemical Products,1.421,2.195,0.015,-1.204,2.344,1.739,104380773.7981364
6804,Milling Stones,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.471,2.247,0.43,0.567,1.306,0.932,274812737.8941163
8443,Industrial Printers,"Machinery, mechanical appliances, & parts",Machines,1.471,2.247,0.341,-0.57,1.508,1.138,3122771908.3009443
7318,Iron Fasteners,Iron/Steel Articles,Metals,1.471,2.247,0.239,-0.033,1.642,1.271,2541986975.5182376
8466,Metalworking Machine Parts,"Machinery, mechanical appliances, & parts",Machines,1.471,2.247,0.196,0.816,1.658,1.293,1126656875.7812817
8202,Hand Saws,Tools & cutlery,Metals,1.471,2.247,0.218,-0.939,1.745,1.363,334424421.27203625
9010,Photo Lab Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,1.471,2.247,0.083,-1.474,2.072,1.632,2319764629.7873597
3919,Self-adhesive Plastics,Plastics & articles thereof,Plastics and Rubbers,1.521,2.298,0.392,-0.201,1.346,1.036,1303911817.5230148
7416,Copper Springs,Copper articles,Metals,1.521,2.298,0.398,-0.459,1.37,1.041,53409169.49384703
8456,Non-Mechanical Removal Machinery,"Machinery, mechanical appliances, & parts",Machines,1.521,2.298,0.204,-0.889,1.726,1.382,442061324.61719805
3707,Photographic Chemicals,Photo & movie goods,Chemical Products,1.521,2.298,0.106,-0.605,1.879,1.534,399311402.43966657
8420,Rolling Machines,"Machinery, mechanical appliances, & parts",Machines,1.521,2.298,0.115,-1.186,1.863,1.555,101562277.62182267
9012,Non-optical Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.521,2.298,0.006,-0.703,2.035,1.723,244047606.97506687
9033,Opto-Electric Instrument Parts,"Optical, photo, & film equipment; medical instruments",Instruments,1.571,2.35,0.507,1.186,1.08,0.782,141452423.50581047
8204,Wrenches,Tools & cutlery,Metals,1.571,2.35,0.336,-0.482,1.378,1.141,157806155.5305802
2851,Inorganic Compounds,Inorganic chemicals,Chemical Products,1.571,2.35,0.246,-1.343,1.505,1.339,84993554.24835128
8113,Cermets,Cermet articles,Metals,1.571,2.35,0.209,-1.136,1.624,1.389,74417286.51822597
3702,Photographic Film,Photo & movie goods,Chemical Products,1.571,2.35,0.17,-1.43,1.724,1.475,104989764.53690153
8457,Metalworking Transfer Machines,"Machinery, mechanical appliances, & parts",Machines,1.571,2.35,0.027,-1.246,1.922,1.72,654517974.7076069
8444,Artificial Textile Machinery,"Machinery, mechanical appliances, & parts",Machines,1.571,2.35,0.006,-1.677,1.954,1.789,91444657.5903605
4812,Paper Pulp Filter Blocks,Paper articles,Paper Goods,1.621,2.402,0.65,0.305,0.903,0.621,9660360.75503435
7223,Stainless Steel Wire,Iron & steel,Metals,1.621,2.402,0.216,-0.529,1.462,1.34,165109969.2869229
7226,Flat-Rolled Iron,Iron & steel,Metals,1.621,2.402,0.107,0.424,1.586,1.468,276362567.7235289
8477,Rubberworking Machinery,"Machinery, mechanical appliances, & parts",Machines,1.621,2.402,0.092,-0.367,1.67,1.544,1978706365.9839568
3910,Silicone,Plastics & articles thereof,Plastics and Rubbers,1.621,2.402,0.053,-1.236,1.771,1.67,647875476.0386147
3914,Polymer Ion-Exchangers,Plastics & articles thereof,Plastics and Rubbers,1.621,2.402,0.026,-1.261,1.758,1.723,164934120.77178094
9108,Watch Movements,"Clocks, watches, & parts",Instruments,1.621,2.402,0.016,-1.722,1.756,1.773,80036046.69246894
8521,Video Recording Equipment,Electrical machinery and electronics,Machines,1.671,2.454,0.579,0.068,0.977,0.737,2032970636.2579184
8473,Office Machine Parts,"Machinery, mechanical appliances, & parts",Machines,1.671,2.454,0.602,-0.598,0.972,0.741,12337235031.310429
2914,Ketones and Quinones,Organic chemicals,Chemical Products,1.671,2.454,0.372,-0.685,1.286,1.095,402430761.8897666
8514,Electric Furnaces,Electrical machinery and electronics,Machines,1.671,2.454,0.325,-0.18,1.292,1.14,328098635.102199
9024,Tensile Testing Machines,"Optical, photo, & film equipment; medical instruments",Instruments,1.671,2.454,0.088,-0.819,1.576,1.58,175786545.93999165
3403,Lubricating Products,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,1.671,2.454,0.081,-1.357,1.661,1.628,764597389.0530688
3822,Laboratory Reagents,Chemical products n.e.s.,Chemical Products,1.671,2.454,0.031,-0.971,1.682,1.694,2293966151.4505863
2919,Phosphoric Esters and Salts,Organic chemicals,Chemical Products,1.671,2.454,0.023,-1.373,1.74,1.735,94665205.64867371
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,1.671,2.454,0.001,-1.58,1.771,1.79,1053783009.9238253
2928,Hydrazine or Hydroxylamine Derivatives,Organic chemicals,Chemical Products,1.721,2.506,0.266,-2.064,1.36,1.352,107226391.47274177
8462,Forging Machines,"Machinery, mechanical appliances, & parts",Machines,1.721,2.506,0.14,-0.44,1.441,1.464,650683810.8172493
8439,Papermaking Machines,"Machinery, mechanical appliances, & parts",Machines,1.721,2.506,0.068,-0.425,1.491,1.59,408601419.5729812
3701,Photographic Plates,Photo & movie goods,Chemical Products,1.721,2.506,0.082,-1.481,1.58,1.633,321926162.26873904
2910,Epoxides,Organic chemicals,Chemical Products,1.721,2.506,0.048,-1.326,1.607,1.686,308027363.7979442
9016,Balances,"Optical, photo, & film equipment; medical instruments",Instruments,1.721,2.506,0.011,-1.078,1.596,1.739,31474907.63901911
4904,Sheet Music,"Books, newspapers, & other prints",Paper Goods,1.721,2.506,0.003,-0.984,1.638,1.747,7052425.016830186
7506,Nickel Sheets,Nickel articles,Metals,1.721,2.506,0.009,-1.377,1.7,1.763,128756693.84175824
8425,Pulley Systems,"Machinery, mechanical appliances, & parts",Machines,1.771,2.557,0.57,0.036,0.966,0.751,359210887.23449576
7505,Nickel Bars,Nickel articles,Metals,1.771,2.557,0.22,-1.333,1.356,1.384,218615605.6763626
2934,Nucleic Acids,Organic chemicals,Chemical Products,1.771,2.557,0.215,-1.839,1.388,1.423,1791032849.2550128
7220,Flat-Rolled Stainless Steel,Iron & steel,Metals,1.771,2.557,0.115,-0.779,1.397,1.529,390663400.5389253
3908,Polyamides,Plastics & articles thereof,Plastics and Rubbers,1.771,2.557,0.094,-0.522,1.453,1.551,1131867690.3099053
8458,Metal Lathes,"Machinery, mechanical appliances, & parts",Machines,1.771,2.557,0.04,-0.636,1.543,1.655,466270624.5675527
3002,"Vaccines, blood, antisera, toxins and cultures",Pharmaceutical products,Chemical Products,1.771,2.557,0.033,-0.836,1.529,1.681,21457249519.536392
2850,Hydrides and other anions,Inorganic chemicals,Chemical Products,1.771,2.557,0.03,-0.874,1.53,1.689,50742583.40395903
2933,Nitrogen Heterocyclic Compounds,Organic chemicals,Chemical Products,1.771,2.557,0.073,-2.445,1.565,1.714,7192877212.238354
7014,Signaling Glassware,Glass & glassware,Stone And Glass,1.771,2.557,0.01,-1.309,1.576,1.755,41852967.37034011
9209,Musical Instrument Parts,Musical instruments,Instruments,1.821,2.609,0.329,0.147,1.162,1.114,94379937.22072054
5910,Conveyor Belt Textiles,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.821,2.609,0.3,-0.622,1.205,1.207,40449587.250540085
8475,Glass Working Machines,"Machinery, mechanical appliances, & parts",Machines,1.821,2.609,0.282,-0.735,1.224,1.244,304377817.7027329
3507,Enzymes,"Glues, starches, & albuminoid products",Chemical Products,1.821,2.609,0.274,-0.883,1.239,1.266,435847968.2746723
7507,Nickel Pipes,Nickel articles,Metals,1.821,2.609,0.205,-0.932,1.28,1.384,77854930.63516408
3911,Petroleum Resins,Plastics & articles thereof,Plastics and Rubbers,1.821,2.609,0.192,-1.005,1.304,1.41,479157067.43684316
3821,Micro-Organism Culture Preparations,Chemical products n.e.s.,Chemical Products,1.821,2.609,0.085,-0.774,1.385,1.582,254126416.8533195
