country,co2_reduction,unemp_reduction,unemp_now,unemp_in_10y,eci_target_raw,eci_target_used,max_feasible_eci,capped,attainable_growth
tha,2.0,2.0,0.733,0.599,2.223296011378947,1.7856482161554577,1.8056482161554577,True,3.0259853199871185
mex,2.0,2.0,2.765,2.259,2.6815034002287113,2.0250045215456174,2.0450045215456174,True,2.8200654316592675
