Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
3203,Vegetable or Animal Dyes,"Paints, dyes, & varnishes",Chemical Products,1.171,2.965,0.887,-0.29,0.656,0.318,0.0
8423,Scales,"Machinery, mechanical appliances, & parts",Machines,1.171,2.965,0.891,-1.411,0.993,0.372,93916897.54058695
2915,Saturated Acyclic Monocarboxylic Acids,Organic chemicals,Chemical Products,1.171,2.965,0.859,-1.176,0.945,0.404,330359257.9179331
8603,Self-Propelled Rail Transport,Railway and trams,Transportation,1.171,2.965,0.617,-0.735,1.6,0.726,170200959.38846704
8479,Machinery Having Individual Functions,"Machinery, mechanical appliances, & parts",Machines,1.171,2.965,0.521,-0.562,1.871,0.859,4522648947.416567
8411,Gas Turbines,"Machinery, mechanical appliances, & parts",Machines,1.221,3.014,0.764,-0.354,1.049,0.493,3255095737.3402667
8205,Other Hand Tools,Tools & cutlery,Metals,1.221,3.014,0.57,-0.775,1.649,0.797,231813337.53285706
9022,X-Ray Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,1.221,3.014,0.543,-0.907,1.649,0.845,796200377.9098938
9017,Drafting Tools,"Optical, photo, & film equipment; medical instruments",Instruments,1.221,3.014,0.406,-0.478,1.903,1.03,88612892.31660488
8209,Tool Plates,Tools & cutlery,Metals,1.221,3.014,0.376,-0.992,1.992,1.107,227611375.60762
8433,Harvesting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.271,3.062,0.691,1.063,1.012,0.521,571950544.182896
8467,Motor-working Tools,"Machinery, mechanical appliances, & parts",Machines,1.271,3.062,0.682,-0.323,1.209,0.608,219610163.24099705
8416,Liquid Fuel Furnaces,"Machinery, mechanical appliances, & parts",Machines,1.271,3.062,0.554,0.244,1.341,0.764,71263727.3048697
2912,"Aldehydes, cyclic polymers, and paraformaldehyde",Organic chemicals,Chemical Products,1.271,3.062,0.586,-0.901,1.35,0.781,82206988.57396623
9031,Other Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,1.271,3.062,0.531,-0.382,1.565,0.833,1518645775.4099133
9030,Oscilloscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.271,3.062,0.407,-0.226,1.717,1.014,948893513.9903471
8428,Lifting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.287,3.077,0.539,1.024,1.296,0.743,922889097.9123907
4806,Vegetable Parchment,Paper articles,Paper Goods,1.287,3.077,0.51,-0.367,1.401,0.864,67889183.67424938
