model,term,coef,se,pvalue,signif,significant_at_5pct
baseline,Intercept,2.529846813479938,0.24383242629352275,3.2103313440075185e-25,***,True
baseline,C(Year)[T.2009],-0.28836730795358173,0.27694197426240913,0.2977570606298403,ns,False
baseline,gdpz,-1.3764002098824053,0.19295507135814688,9.801354656368847e-13,***,True
baseline,eci,1.0311438627452543,0.19744603079623985,1.7661066998630442e-07,***,True
baseline,gdpz:eci,-0.21676622581400556,0.12537089423006242,0.08380916689920787,*,False
extended,Intercept,1.9967337741875337,0.2840629503668725,2.077290021909594e-12,***,True
extended,C(Year)[T.2009],-0.5893754611371977,0.27003674531920063,0.029067119309034394,**,True
extended,gdpz,-1.0868909163424028,0.2052853859641455,1.1931882348157077e-07,***,True
extended,eci,1.105849641203615,0.2855654799460259,0.0001077288251444795,***,True
extended,gdpz:eci,-0.13954208770248447,0.1835481231784008,0.4471063771727064,ns,False
extended,co2red,-0.28509201471156165,0.08327064035828172,0.0006177935304877035,***,True
extended,unred,0.10410815570352842,0.025421495559892128,4.216575112883285e-05,***,True
extended,eci:co2red,-0.06427907579606076,0.04027962774514202,0.11052876352092705,ns,False
extended,eci:unred,0.04991316023986463,0.026173672014242998,0.05652074725427668,*,False
