Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
7412,Copper Pipe Fittings,Copper articles,Metals,1.371,3.159,0.573,-0.268,1.178,0.764,184424091.89666548
7307,Iron Pipe Fittings,Iron/Steel Articles,Metals,1.371,3.159,0.502,0.762,1.241,0.812,657343719.7450786
4806,Vegetable Parchment,Paper articles,Paper Goods,1.371,3.159,0.51,-0.367,1.401,0.864,75065178.43093537
9013,LCDs,"Optical, photo, & film equipment; medical instruments",Instruments,1.371,3.159,0.54,-1.235,1.384,0.869,1493567788.497494
5903,Plastic Coated Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.371,3.159,0.423,-0.29,1.525,0.993,470234949.66997933
8208,Cutting Blades,Tools & cutlery,Metals,1.371,3.159,0.35,0.397,1.614,1.067,133701893.96861671
8461,Metalworking Machines,"Machinery, mechanical appliances, & parts",Machines,1.371,3.159,0.263,-0.927,1.827,1.286,102745532.24206881
7415,Copper Fasteners,Copper articles,Metals,1.421,3.207,0.539,-1.577,1.241,0.89,45052077.878023714
7315,Iron Chains,Iron/Steel Articles,Metals,1.421,3.207,0.31,-0.0,1.56,1.154,242667401.52261192
2920,Other Esters,Organic chemicals,Chemical Products,1.421,3.207,0.365,-1.829,1.658,1.176,81055096.00131825
8101,Tungsten,Cermet articles,Metals,1.421,3.207,0.311,-0.526,1.588,1.183,51887083.5192887
3705,Developed Exposed Photographic Material,Photo & movie goods,Chemical Products,1.421,3.207,0.015,-1.204,2.344,1.739,78167900.07403971
6804,Milling Stones,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.471,3.255,0.43,0.567,1.306,0.932,192562671.18097505
8443,Industrial Printers,"Machinery, mechanical appliances, & parts",Machines,1.471,3.255,0.341,-0.57,1.508,1.138,2234521345.739104
7318,Iron Fasteners,Iron/Steel Articles,Metals,1.471,3.255,0.239,-0.033,1.642,1.271,1848780198.701853
8466,Metalworking Machine Parts,"Machinery, mechanical appliances, & parts",Machines,1.471,3.255,0.196,0.816,1.658,1.293,824136931.0861903
8202,Hand Saws,Tools & cutlery,Metals,1.471,3.255,0.218,-0.939,1.745,1.363,244275769.94105613
9010,Photo Lab Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,1.471,3.255,0.083,-1.474,2.072,1.632,1724640322.7044313
3919,Self-adhesive Plastics,Plastics & articles thereof,Plastics and Rubbers,1.521,3.304,0.392,-0.201,1.346,1.036,923283884.9193231
7416,Copper Springs,Copper articles,Metals,1.521,3.304,0.398,-0.459,1.37,1.041,37792611.45568593
8456,Non-Mechanical Removal Machinery,"Machinery, mechanical appliances, & parts",Machines,1.521,3.304,0.204,-0.889,1.726,1.382,323484852.9144749
3707,Photographic Chemicals,Photo & movie goods,Chemical Products,1.521,3.304,0.106,-0.605,1.879,1.534,295948593.20849836
8420,Rolling Machines,"Machinery, mechanical appliances, & parts",Machines,1.521,3.304,0.115,-1.186,1.863,1.555,75210283.80387115
9012,Non-optical Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.521,3.304,0.006,-0.703,2.035,1.723,182929830.97456375
9033,Opto-Electric Instrument Parts,"Optical, photo, & film equipment; medical instruments",Instruments,1.571,3.352,0.507,1.186,1.08,0.782,97025034.69229698
8204,Wrenches,Tools & cutlery,Metals,1.571,3.352,0.336,-0.482,1.378,1.141,113009263.50855105
2851,Inorganic Compounds,Inorganic chemicals,Chemical Products,1.571,3.352,0.246,-1.343,1.505,1.339,61847159.59845598
8113,Cermets,Cermet articles,Metals,1.571,3.352,0.209,-1.136,1.624,1.389,54433319.44655897
3702,Photographic Film,Photo & movie goods,Chemical Products,1.571,3.352,0.17,-1.43,1.724,1.475,77224700.83463301
8457,Metalworking Transfer Machines,"Machinery, mechanical appliances, & parts",Machines,1.571,3.352,0.027,-1.246,1.922,1.72,489549321.79973716
8444,Artificial Textile Machinery,"Machinery, mechanical appliances, & parts",Machines,1.571,3.352,0.006,-1.677,1.954,1.789,68548220.58011076
4812,Paper Pulp Filter Blocks,Paper articles,Paper Goods,1.621,3.4,0.65,0.305,0.903,0.621,0.0
7223,Stainless Steel Wire,Iron & steel,Metals,1.621,3.4,0.216,-0.529,1.462,1.34,120577107.39659558
