Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
3819,Hydraulic Brake Fluid,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.803,0.861,0.439,-1.241,0.0,23863005.65721278
2813,Nonmetal Sulfides,Inorganic chemicals,Chemical Products,False,True,extended only,0.785,0.807,0.441,-0.782,0.0,6393527.5790699525
4008,Rubber Sheets,Rubber & articles thereof,Plastics and Rubbers,False,True,extended only,0.743,0.883,0.455,0.09,0.0,116814716.86971906
8433,Harvesting Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.745,1.012,0.465,-0.155,0.0,639353516.7612174
8302,Metal Mountings,Miscellaneous metal products,Metals,False,True,extended only,0.726,0.68,0.515,-0.612,0.0,1033023964.8052776
2926,Nitrile Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.714,0.95,0.531,-0.59,0.0,158182540.21079075
8421,Centrifuges,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.695,1.002,0.534,-0.116,0.0,2188108957.788719
8454,Casting Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.713,0.745,0.535,-0.63,0.0,73356565.57142773
5911,Textiles for technical uses,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.678,1.142,0.548,0.07,0.0,149150726.0585504
3005,Bandages,Pharmaceutical products,Chemical Products,False,True,extended only,0.648,1.121,0.603,-0.146,0.0,254349716.89003274
6506,Other Headwear,Headgear,Footwear and Headwear,False,True,extended only,0.637,0.97,0.61,0.011,0.0,130956002.97710614
8303,Safes,Miscellaneous metal products,Metals,False,True,extended only,0.585,0.788,0.682,0.093,0.0,39214436.98801735
9007,Video Cameras,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.583,0.773,0.684,0.105,0.0,20031635.175578274
8417,Industrial Furnaces,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.594,1.022,0.694,-0.384,0.0,141289752.48325622
