Code,Name,Type_HS2,Group_Section,Mcp,Added_vol,RCA_final,Relatedness_final,mar_ECI,PCI_future,RCA_start,Relatedness_start,Relative_relatedness_start,Effort_Ycp
1001,Wheat,Cereals,Vegetable Products,0.0,0.0,0.1264743831429368,0.2719800216738097,-0.0,-0.12398048436261216,0.08729593888616893,0.2016298992575683,1.2807254476613479,1.4502858788342308
1002,Rye,Cereals,Vegetable Products,0.0,0.0,0.05448813747654862,0.3357159998095263,0.0,0.5738275357240912,9.465473276580593e-07,0.18847278178713145,0.559507211621294,1.652778276582152
1003,Barley,Cereals,Vegetable Products,0.0,0.0,0.058058749498162886,0.2598334331580508,-0.0,-0.15589126349753082,0.0038002088238773594,0.18954392755421318,0.6182229495032636,1.6419930970474912
1004,Oats,Cereals,Vegetable Products,0.0,0.0,0.05661656538940582,0.2941981870087631,0.0,0.0285226354575395,0.0032889797385553163,0.1883467913419621,0.552600941549061,1.6471142120068696
1005,Corn,Cereals,Vegetable Products,0.0,0.0,0.15689330120356146,0.23965819503060395,-0.0,-1.1314089786506385,0.1402505645008835,0.19599635758759157,0.9719182187977253,1.3771936702512186
1006,Rice,Cereals,Vegetable Products,0.0,0.0,0.04102955674591956,0.15661279883789617,-0.0,-1.8708459296020301,0.00811007767324763,0.16754433095773813,-0.5877030663245553,1.7116601384250245
1007,Sorghum,Cereals,Vegetable Products,0.0,0.0,0.05161511034156327,0.2129627691891253,-0.0,-2.035602115912217,0.03536120912326445,0.1591755269799046,-1.0464459525395609,1.6909135478615722
1008,Buckwheat,Cereals,Vegetable Products,0.0,0.0,0.06862621354510157,0.21536417673360467,-0.0,-1.558906474359531,0.00907316430415968,0.1971183591410071,1.0334216585144245,1.6060319647659274
101,Horses,Live animals,Animal Products,0.0,0.0,0.056370935076670944,0.2961987233774372,-0.0,-0.12644259003203387,0.058361290722017276,0.1477678591967686,-1.6717666623660676,1.6895648187190941
102,Bovine,Live animals,Animal Products,1.0,0.0,1.6984320807600737,0.2507094231388909,0.0019400390212474382,-1.0605053000880078,2.845183878081496,0.22787939658138676,0.29496678554520206,-1.805008008063718
103,Pigs,Live animals,Animal Products,0.0,0.0,0.056634422016711365,0.2902333201201117,0.0,0.4179159090834367,0.00021631417572159003,0.19066548048729406,0.679701797726642,1.6447319433549117
104,Sheep and Goats,Live animals,Animal Products,0.0,0.0,0.07268057539248284,0.2021463565473319,-0.0,-1.5462929103907586,0.0017366094153441064,0.20697667232253708,1.5738132191346854,1.5857487164341073
105,Poultry,Live animals,Animal Products,0.0,0.0,0.07214863253444247,0.27602396322601297,-0.0,-0.13889328608686616,2.346885689634732e-06,0.20770095279129158,1.6135152498604202,1.586466394651063
106,Other Animals,Live animals,Animal Products,0.0,0.0,0.16477988280529454,0.2137231717094839,-0.0,-1.2707495117105247,0.14646009848186914,0.1996720245665901,1.1734029331221605,1.3544338263009958
1101,Wheat Flours,Products of the milling industry,Vegetable Products,0.0,0.0,0.16631016343750551,0.19212593879094209,-0.0,-1.399581097134205,0.14232616245470295,0.2039794626624036,1.4095187018150113,1.3473337090929678
1102,Cereal Flours,Products of the milling industry,Vegetable Products,1.0,0.0,2.5931462766939886,0.21850660821045317,0.002492961491908807,-1.3627555147754933,4.684336036193871,0.21571497626326713,-0.8944755181799712,-3.6013765897613528
1103,Cereal Meal and Pellets,Products of the milling industry,Vegetable Products,0.0,0.0,0.6486483051095463,0.22172941060102183,-0.0,-1.151221775795257,0.8782068691439269,0.20248528545405325,1.3276141468880642,0.2456864004022028
