Code,Name,Type_HS2,Group_Section,Mcp,Added_vol,RCA_final,Relatedness_final,mar_ECI,PCI_future,RCA_start,Relatedness_start,Relative_relatedness_start,Effort_Ycp
1001,Wheat,Cereals,Vegetable Products,0.0,0.0,0.04063163912866856,0.32483941133790295,-0.0,-0.12398048436261216,4.937319399668258e-05,0.24026715760118128,-1.1296192348653094,1.706833025422514
1002,Rye,Cereals,Vegetable Products,0.0,0.0,0.028799664693345217,0.3963604141738188,0.0,0.5738275357240912,0.0013205251594536592,0.22743803687637187,-1.9201273620585757,1.7552288331277306
1003,Barley,Cereals,Vegetable Products,0.0,0.0,0.03229699038541707,0.3158402838168266,-0.0,-0.15589126349753082,0.000664476502852374,0.23142145911532477,-1.6746758052854636,1.740598017387612
1004,Oats,Cereals,Vegetable Products,0.0,0.0,0.03280256130368816,0.3516429686701899,0.0,0.0285226354575395,0.018904203748701453,0.22048851282214724,-2.348344958792688,1.7499121626512006
1005,Corn,Cereals,Vegetable Products,0.0,0.0,0.14994417288856493,0.2960722822838564,-0.0,-1.1314089786506385,0.14171141516345784,0.26011786726385294,0.09354700197193735,1.3780666881104127
1006,Rice,Cereals,Vegetable Products,1.0,0.0,5.394712396659329,0.2699667656838981,0.001667855688490612,-1.8708459296020301,10.668692313759864,0.3412753540806097,0.6598271661673623,-9.762763184544102
1007,Sorghum,Cereals,Vegetable Products,0.0,0.0,0.02663334172814842,0.2599767895501887,-0.0,-2.035602115912217,0.013933308561960034,0.21729257485555248,-2.545273103035107,1.7721419110271102
1008,Buckwheat,Cereals,Vegetable Products,0.0,0.0,0.3031528505508125,0.27326857266739873,-0.0,-1.558906474359531,0.38662461135617415,0.26156413867365447,0.1826637332039099,0.9746553246946552
101,Horses,Live animals,Animal Products,0.0,0.0,0.04701198809156466,0.38044536959436226,-0.0,-0.12644259003203387,0.016026943081802296,0.2366546521085389,-1.352215546235397,1.691147428538816
102,Bovine,Live animals,Animal Products,1.0,0.0,0.7912449999638028,0.3037235277264916,0.003366683492342882,-1.0605053000880078,1.445977819006216,0.2936538206135572,-0.8745471292080187,-0.33615857180746267
103,Pigs,Live animals,Animal Products,1.0,0.0,1.5545723701978105,0.38153771688265853,-0.000372571260544051,0.4179159090834367,2.915107028133493,0.3041338110800558,-0.5368799686429393,-1.8606284536787387
