hs4,code_trade,product_name,hs2_code,hs2_name,section
0908,908,"Nutmeg, mace and cardamons",09,"Coffee, tea, mate & spices",Vegetable Products
0909,909,Spice Seeds,09,"Coffee, tea, mate & spices",Vegetable Products
0910,910,Spices,09,"Coffee, tea, mate & spices",Vegetable Products
1001,1001,Wheat,10,Cereals,Vegetable Products
1002,1002,Rye,10,Cereals,Vegetable Products
1003,1003,Barley,10,Cereals,Vegetable Products
1004,1004,Oats,10,Cereals,Vegetable Products
1005,1005,Corn,10,Cereals,Vegetable Products
1006,1006,Rice,10,Cereals,Vegetable Products
1007,1007,Sorghum,10,Cereals,Vegetable Products
1008,1008,Buckwheat,10,Cereals,Vegetable Products
1101,1101,Wheat Flours,11,Products of the milling industry,Vegetable Products
1102,1102,Cereal Flours,11,Products of the milling industry,Vegetable Products
1103,1103,Cereal Meal and Pellets,11,Products of the milling industry,Vegetable Products
1104,1104,Processed Cereals,11,Products of the milling industry,Vegetable Products
1105,1105,Potato Flours,11,Products of the milling industry,Vegetable Products
1106,1106,Legume Flours,11,Products of the milling industry,Vegetable Products
1107,1107,Malt,11,Products of the milling industry,Vegetable Products
1108,1108,Starches,11,Products of the milling industry,Vegetable Products
1109,1109,Wheat Gluten,11,Products of the milling industry,Vegetable Products
1201,1201,Soybeans,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1202,1202,Ground Nuts,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1203,1203,Copra,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1204,1204,Linseed,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1205,1205,Rapeseed,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1206,1206,Sunflower Seeds,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1207,1207,Other Oily Seeds,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1208,1208,Oil Seed Flower,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1209,1209,Sowing Seeds,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1210,1210,Hops,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1211,1211,Perfume Plants,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1212,1212,"Locust beans, seaweed, sugar beet, cane, for food",12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1213,1213,Cereal Straws,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1214,1214,Forage Crops,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products
1301,1301,Insect Resins,13,"Natural gums, resins & other vegetable extracts",Vegetable Products
1302,1302,Vegetable Saps,13,"Natural gums, resins & other vegetable extracts",Vegetable Products
1401,1401,Vegetable Plaiting Materials,14,"Vegetable plaiting materials & products, n.e.s.",Vegetable Products
1402,1402,Vegetable Stuffing Materials,14,"Vegetable plaiting materials & products, n.e.s.",Vegetable Products
1403,1403,Vegetable material for brooms and brushes,14,"Vegetable plaiting materials & products, n.e.s.",Vegetable Products
1404,1404,Other Vegetable Products,14,"Vegetable plaiting materials & products, n.e.s.",Vegetable Products
1501,1501,Pig and Poultry Fat,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1502,1502,"Bovine, Sheep, and Goat Fat",15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1503,1503,Lard stearin and oils,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1504,1504,Fish Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1505,1505,Wool Grease,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1506,1506,Other Animal Fats,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1507,1507,Soybean Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1508,1508,Ground Nut Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1509,1509,Pure Olive Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1510,1510,Olive Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1511,1511,Palm Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1512,1512,Seed Oils,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1513,1513,Coconut Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1514,1514,Rapeseed Oil,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
