Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SLV,,,-0.404841778,-0.315618176,-0.421885122,-0.373659221,-0.274717298,-0.299020501,-0.413359929,-0.385107161,-0.342591879,-0.276629507,-0.073548805,0.066660553,0.05903266,0.005319055,0.015234521,-0.021498954,0.038009082,0.127231623,0.161334015,0.220959948,0.233934402,0.200340117,0.168321921,0.116633827,0.092693136,0.206835881
ETH,,,,,,,,,,,,,,,,,-0.909666673,-0.89333045,-0.819449204,-0.859284376,-0.793571911,-0.766666204,-0.933361092,-0.704315697,-0.898591623,-0.736840881,-0.825181438,-0.603044353
FIN,1.666156881,1.695492496,1.661880035,1.633658942,1.681146062,1.753001322,1.828087421,1.8221257,1.7711073,1.864329956,1.74943681,1.701143338,1.58570507,1.476747679,1.502183217,1.548176755,1.524290688,1.512356137,1.464945547,1.528446775,1.451302156,1.313845441,1.393412355,1.369649411,1.423463283,1.425466985,1.354411043,1.279257827
FRA,1.502857609,1.463361964,1.478362687,1.445678638,1.495018086,1.551365026,1.503191787,1.48266212,1.421056027,1.441925117,1.415062145,1.38681583,1.322040187,1.327707081,1.330735521,1.393524592,1.432387791,1.421632863,1.406310308,1.363652614,1.334325959,1.304597757,1.330527933,1.270447647,1.264264627,1.340518606,1.326701702,1.249588027
GAB,-1.460425831,-1.514643777,-1.411940415,-1.555722206,-0.706567266,-1.412552469,-1.561859503,-1.846849623,-1.504685921,-1.083193154,-1.097123402,-1.548889504,-1.397098571,-1.398028554,-1.196806586,-1.61839195,-1.147039919,-0.936411983,-1.059414443,-1.254050025,-0.899136519,-0.439864298,0.007886631,-0.25955284,-0.419519907,-0.687913364,-0.836073966,-1.044804983
GEO,,,,,,,,,,,,-0.177924516,-0.008791313,-0.063819417,-0.053428444,-0.1747596,-0.139045752,-0.163173288,-0.096307142,-0.123302509,-0.156653503,-0.223268554,-0.354931402,-0.156638366,-0.122289667,-0.205646011,-0.051160507,-0.046248195
DEU,1.999498494,2.011280013,2.017243979,1.986902463,1.959452082,1.997657974,2.023202087,2.030121858,2.007939167,2.020471194,2.002099216,1.943707906,1.822111956,1.771296281,1.797685525,1.837102914,1.89789643,1.912922549,1.857817919,1.855668875,1.903417576,1.895470421,1.961994154,1.890534948,1.91906956,1.920725775,1.890062692,1.795026911
GHA,,-1.299246597,-1.133624367,-1.032549809,-1.01930816,-1.127758035,-1.052734064,-1.285852914,-1.26504939,-1.291061387,-1.252767535,-1.137477381,-0.976033767,-0.754132681,-0.861323786,-0.902803376,-0.739149762,-0.799248389,-0.75676092,-0.931719988,-0.784794761,-0.84035659,-0.907188884,-1.145451933,-1.225349457,-1.174017906,-1.121727195,-1.133772868
GRC,-0.105502203,-0.033721621,-0.030727173,0.007526951,-0.011201052,0.029500691,0.093733691,0.177731514,0.161223588,0.197599876,0.217020637,0.164245726,0.244240841,0.247853918,0.251175933,0.239919515,0.215072692,0.140138501,0.203394551,0.208524021,0.252560471,0.223252397,0.15895275,0.151182238,0.132735096,0.119766332,0.234977997,0.275809557
GTM,-0.337417612,-0.259902954,-0.28575569,-0.315942552,-0.384939475,-0.33711565,-0.342561942,-0.35832505,-0.377649307,-0.387163135,-0.430119523,-0.333730173,-0.18524709,-0.099542387,-0.145311018,-0.234675118,-0.249887245,-0.31359557,-0.195094115,-0.136061486,-0.179863519,-0.071928844,-0.163868622,-0.180082158,-0.273376202,-0.265684308,-0.20446687,-0.093411054
GIN,,,,,,,,,,,,,-1.793746408,-1.765141324,-1.809243768,-1.599156966,-1.653866057,-1.727832951,-1.571845225,-1.477961424,-1.59697084,-1.674345828,-1.628511949,-1.661679577,-1.656199563,-1.751450549,-2.030120213,-2.292312977
HND,-1.069154978,-0.923922895,-0.920863536,-0.889979615,-1.067876536,-0.959403615,-0.80565956,-0.922243974,-0.962675671,-0.864042411,-0.820404241,-0.648398567,-0.461124707,-0.422191888,-0.405359317,-0.436167335,-0.461174002,-0.456498868,-0.457490304,-0.360096247,-0.388844993,-0.34035701,-0.440109221,-0.407295346,-0.420074314,-0.373355401,-0.387225195,-0.36882006
HKG,0.058680708,0.148953,0.16461377,0.082696749,-0.008145665,0.166344114,0.264427236,0.328768604,0.447952347,0.427298158,0.539868865,0.60616948,0.626106861,0.777896474,0.87892295,0.946765927,1.082576088,1.103093212,0.992540773,0.976561107,0.961353369,1.038541972,1.083418585,1.108859243,1.232350972,1.215169486,1.323052299,1.278366349
HUN,0.614377192,0.673345878,0.616243838,0.580093308,0.602942916,0.74800257,0.890168911,0.973759339,0.947185177,1.035381849,1.044163323,1.160884696,1.251910409,1.270828364,1.274907848,1.288966747,1.338455484,1.362107555,1.352712211,1.393116276,1.401924474,1.367680643,1.34064555,1.313138642,1.328494345,1.303390243,1.314371323,1.28409527
IND,-0.177912107,-0.02840691,0.037864862,0.084853727,0.046627919,0.12101149,0.211723126,0.273867491,0.271155654,0.24114996,0.239802579,0.270554074,0.342225271,0.393626829,0.328684259,0.338617772,0.273422476,0.340935859,0.321617313,0.348852762,0.3951866,0.425876579,0.418974658,0.442340458,0.431472725,0.499568674,0.539089332,0.589173846
IDN,-0.665499463,-0.636949589,-0.667951284,-0.628639769,-0.584841263,-0.470082544,-0.364858808,-0.284136724,-0.318887987,-0.271413908,-0.283997556,-0.251350482,-0.075507794,0.007622554,0.035445929,-0.065615352,-0.056887565,-0.017357506,-0.023571037,0.003673775,0.023502468,0.017634805,-0.043868298,0.021760087,-0.011339746,-0.056636942,0.005331638,0.001085359
IRN,-1.114405465,-1.182700621,-0.943548214,-0.677003028,-0.610308051,-0.843231459,-0.890917641,-0.821807709,-0.728018135,-0.766158307,-0.707631818,-0.630808561,-0.693972472,-0.933217907,-1.09257919,-0.979615948,-0.741754858,-0.718688703,-0.508218567,-0.408871029,-0.257781841,-0.334305149,-0.434818823,-0.35235638,-0.309274741,-0.167893175,-0.130249727,-0.078219286
IRQ,,,,-2.188560613,-2.131910488,-2.211203114,-1.433791722,-1.462621851,-1.015301371,-1.110460585,-1.030369846,-1.210424203,-2.189866108,-2.438491791,-2.22602114,-2.248537518,-2.028838135,-1.515654508,-1.604631681,-1.790654709,-2.185505147,-2.749838291,-1.521752248,-1.931084259,-1.290619872,-1.371269745,-1.317431138,-1.088671981
IRL,1.117974316,1.189545022,1.243804723,1.214588233,1.292645248,1.320425018,1.376276316,1.342554843,1.440573586,1.552499943,1.403448559,1.289514513,1.244377162,1.264523081,1.288419665,1.387928633,1.326965962,1.392617027,1.331413551,1.272306421,1.204123023,1.18706824,1.224830782,1.200032102,1.250315373,1.326006736,1.307657068,1.23201098
ISR,0.832600404,0.92404664,0.964320889,0.944764312,0.917788896,1.016421042,1.006020104,1.046065171,1.041123859,1.029860699,1.055292026,1.030891691,1.059342242,1.086604929,1.035141851,1.044594837,1.052155262,1.182412793,1.180606116,1.151170016,1.170052162,1.176691745,1.303022286,1.224499422,1.27516181,1.333041695,1.36582481,1.343963522
ITA,1.224026323,1.281787771,1.287531065,1.243879003,1.17324214,1.215306694,1.26608064,1.328975896,1.278356413,1.284083472,1.292019276,1.325163947,1.273571747,1.286947129,1.288955165,1.334318477,1.365298341,1.332577575,1.324010645,1.329426687,1.362719354,1.334332375,1.365979121,1.301234938,1.293511108,1.295652444,1.314696831,1.313052732
JAM,-1.242161585,-1.032666268,-1.002413632,-0.954837341,-0.946469376,-0.833561591,-0.883190745,-0.796300559,,,-0.71397109,-0.577122836,-0.404021141,-0.241234411,-0.189959186,-0.256758326,-0.110814941,-0.2092314,-0.223176359,-0.269492576,-0.24740721,,,-0.214711426,-0.358939545,-0.272255127,-0.193957269,-0.123605966
JPN,2.168976434,2.172063737,2.221271026,2.141897939,2.142964447,2.190172534,2.260502182,2.324704857,2.262788018,2.334323758,2.346243149,2.331408565,2.186972083,2.149922742,2.169040833,2.329264123,2.383053738,2.469886007,2.301624089,2.235604835,2.241114722,2.2799366,2.372876483,2.291637559,2.396668363,2.359127619,2.298400327,2.170805375
JOR,-0.076161166,,,,-0.018406379,-0.038977569,-0.087893435,-0.116780429,-0.210404557,-0.354731438,-0.34497853,-0.26213117,0.017443207,0.024379875,0.069290966,0.035024201,0.085861016,0.045340884,0.233592531,0.192657224,0.123142281,0.084329593,0.042094936,0.038917391,0.017754278,-0.059428048,-0.035151075,0.132218297
KAZ,,0.081386107,0.065162229,0.181368731,0.223690371,-0.218229455,-0.244582737,-0.243910913,-0.351018626,-0.395193898,-0.33073433,-0.251471453,-0.357546102,-0.503132654,-0.67203463,-0.865036806,-0.846559708,-0.573243381,-0.578512891,-0.492555914,-0.565656157,-0.543987529,-0.672175012,-0.704762285,-0.627092732,-0.502804172,-0.580172755,-0.41474763
KEN,-0.355023996,-0.375850678,-0.471044964,-0.397106319,-0.319985026,-0.345140628,-0.314176716,-0.484959676,-0.605199049,-0.556588559,-0.514881993,-0.324263715,-0.288737189,-0.274382725,-0.26578486,-0.321822981,-0.402383406,-0.412482135,-0.432768475,-0.32600465,-0.313120059,-0.28360137,-0.4090651,-0.374250555,-0.358217784,-0.350013391,-0.370142489,-0.318633168
KWT,-0.435286554,-0.647194614,-1.138611195,-0.643119019,-0.636319332,-0.497915178,-0.656688798,-0.416040019,-0.442414643,-0.299496579,-0.597886064,-0.402837005,-0.498724664,-0.850264521,-0.929718453,-0.369758133,0.028832567,-0.113720728,-0.268142782,-0.445289977,-0.133526243,-0.330041646,-0.107758097,-0.274996469,-0.177267439,-0.094384183,0.069298626,0.295428517
KGZ,,,,,,,,,,,,,,,,,-0.44614927,-0.391463822,-0.237555503,-0.170706722,-0.1900504,-0.16376534,-0.023674143,-0.102438634,-0.305001124,-0.364103402,-0.28626383,-0.229806324
LAO,,,,,,,,,,,,,,,,-0.908733701,-0.990064564,-0.927545173,-0.94322956,-0.867555842,-0.890353102,-0.841773329,-0.744424016,-0.615995914,-0.620574568,-0.625583951,-0.518579518,-0.477294737
LBN,,,,,,,,,,0.0743872,0.135748735,0.215057196,0.401315244,0.358412585,0.387261409,0.307008631,0.31970438,0.277668351,0.387598937,0.373959828,0.381401807,0.356551301,0.347479441,0.289485642,0.294149365,0.26656313,0.256801236,0.353545952
LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87814205
LBY,-0.454901382,-0.549360572,-0.700247573,-0.793493151,-0.894356149,-0.933075138,-1.043285338,-0.905873419,-0.908824675,-0.793048678,-0.79715133,-0.84467793,-0.936562192,-1.194000478,-1.277637103,-1.2506219,-1.485450074,-1.443227167,-1.838145201,-1.781135497,-1.41872268,-1.483239112,-1.300384263,-1.521952568,-1.556743063,-1.356755343,-1.400212519,-1.189674546
LTU,0.2082845,0.204758825,0.215576102,0.182492114,0.081489135,0.12143545,0.082258365,0.01227301,0.062106995,0.07945414,0.204293065,0.322469483,0.504298018,0.558530566,0.520423966,0.484239796,0.591329966,0.648909824,0.743967655,0.757768481,0.768845454,0.755006457,0.769364824,0.822040771,0.83764152,0.864864742,0.9000431,0.856213677
MDG,,,,,,,,,,,,,,,,,,,-0.858574493,-0.860705362,-0.751111447,-0.951248763,-0.989051446,-0.948110877,-1.099912628,-1.074552411,-1.018222151,-1.010729182
MWI,,,,,,,,,,,,,,,,,,-0.918500042,-1.017483151,,,,,,,,,
MYS,-0.08998966,-0.002471384,-0.009625872,-0.014187456,0.049915371,0.173690852,0.327282987,0.333190252,0.357018525,0.472785207,0.588939991,0.660305476,0.688922579,0.732817043,0.917538019,0.982577701,1.168437611,1.154594641,1.070843059,1.014374601,0.929584927,1.071364525,1.115085817,1.066934219,1.092613203,1.076810839,1.075578516,1.052736083
MLI,,,,,,,,,,,,,,-0.995632021,,,-1.155527371,-1.071258562,-1.318124926,-1.390251262,-1.839969792,-1.550041958,-1.100625662,-1.083978507,-1.185032754,-1.274360426,-1.698551158,-2.208393842
MRT,,,,,,,,,,,,,-1.70782343,-1.877275812,-1.793002325,-1.806942937,-1.270445938,-1.310545715,-1.270183853,-1.745005164,-1.688326361,-1.541652988,-1.582907512,-1.461425017,-1.45217762,-1.462560126,-1.352963549,-1.215072882
MEX,0.398883487,0.373126589,0.445584088,0.410904183,0.410545611,0.505711868,0.525589467,0.61265938,0.621950357,0.726104897,0.787873586,0.804030902,0.806614232,0.883670769,0.855281371,0.874390739,0.978840345,0.972537236,0.990019448,1.015525206,1.061380828,1.054989053,1.043912881,1.033311295,0.945926927,0.936473451,0.965257227,0.931048457
MDA,,,,,,,,,,,,,0.086661504,0.161895995,0.130301005,0.088301652,0.023246459,-0.039897691,0.030140697,0.011579313,-0.005282368,-0.127544507,-0.239031245,-0.127794958,-0.223273518,-0.227287797,-0.165823247,-0.029686898
MNG,,,,,,,,,,,,,-0.952942729,-0.923836657,-0.932686258,-0.98231078,-1.150310541,-1.105760208,-1.019191744,-1.238652938,-1.257933832,-1.300570781,-1.295129371,-1.243862798,-1.16586675,-1.282643921,-1.196975234,-1.14024012
MAR,-0.973603414,-0.979981713,-0.975436913,-0.890729234,-0.9574845,-0.863858499,-0.91092912,-0.91932951,-0.87754166,-0.870711416,-0.797354835,-0.620020969,-0.526730491,-0.420265265,-0.415835223,-0.46053387,-0.435065038,-0.522713903,-0.533268165,-0.473896387,-0.465708107,-0.473165726,-0.601221323,-0.501851401,-0.558177083,-0.567375033,-0.465697284,-0.284519859
MOZ,,,,,,,,,,-0.947879386,-1.07981089,-1.036322533,-1.056574067,-1.11442932,-1.064365493,-1.266913732,-1.152828632,-1.305614296,-1.020773185,-0.974808834,-0.921839834,-0.996425671,-1.231632151,-1.211406408,-1.199034031,-1.053501924,-1.138571447,-1.168901581
NAM,,,,,,,,-0.42670359,-0.362326827,-0.474213694,-0.591234517,-0.494315239,-0.510961522,-0.47705484,-0.442923993,-0.592332817,-0.578415316,-0.439215216,-0.420717956,-0.347830994,-0.396498001,-0.543292422,-0.731663721,-0.493208043,-0.539473957,-0.6120702,-0.692034005,-0.734074287
NLD,1.053198615,1.075736557,1.039373804,0.994687763,0.993889949,1.028389341,1.048622764,1.000676312,0.991303994,1.005143,0.965673535,1.000832947,1.013405592,1.006312999,0.985171526,1.065536137,1.04861175,1.068393166,1.078298747,1.076422192,1.026276453,1.049807174,1.090652353,1.038127719,1.057275286,0.998419122,1.009860849,1.004900077
NZL,0.378676813,0.400831305,0.381394792,0.468573218,0.503577936,0.488322827,0.492649757,0.443042082,0.43863252,0.440504851,0.449306691,0.47966762,0.422734785,0.377747726,0.342602087,0.251218247,0.255415922,0.246460439,0.291686599,0.367454272,0.293934644,0.255347311,0.215603334,0.242247385,0.2126721,0.210730481,0.284086406,0.321770631
NIC,,,,,,,,,,,,-0.870446793,-0.716062339,-0.654941074,-0.651633713,-0.793002179,-0.898312211,-0.851901414,-0.799852518,-0.658936272,-0.713314207,-0.765160452,-0.857938572,-0.743862829,-0.759136472,-0.790806745,-0.789032841,-0.725747118
