Country,Year,GDP_pc
AGO,1990,2675.05239370666
ALB,1990,1682.8810874018
ARE,1990,66481.6137644725
ARG,1990,8115.09386370753
ARM,1990,1644.02214502158
AUS,1990,36975.4199007908
AUT,1990,31167.1857978698
AZE,1990,2866.41060718579
BEL,1990,29609.6207516724
BEN,1990,749.459666582926
BFA,1990,332.153276660935
BGD,1990,473.444821021085
BGR,1990,4425.49968282931
BIH,1990,791.443970389452
BLR,1990,2888.81296582486
BOL,1990,1679.40847934245
BRA,1990,6149.86718171298
BWA,1990,4039.46544455099
CAN,1990,31700.5462613508
CHE,1990,70063.8517086247
CHL,1990,5290.53694835535
CHN,1990,917.270661782581
CIV,1990,1866.0785698741
CMR,1990,1360.47765296011
COD,1990,831.662947440969
COG,1990,2363.76701814587
COL,1990,3714.1849928328
CRI,1990,6037.05111668102
CUB,1990,4961.45738860948
CZE,1990,11900.5844581421
DEU,1990,29763.3124657124
DNK,1990,39306.7939232431
DOM,1990,2772.77065608381
DZA,1990,3605.68701212608
ECU,1990,3919.71758067093
EGY,1990,1972.13789303215
ESP,1990,19174.77083233
ETH,1990,267.078134508598
FIN,1990,31291.5222587198
FRA,1990,27992.9751471374
GAB,1990,8354.26309000876
GBR,1990,30071.2085616955
GEO,1990,3534.03227732782
GHA,1990,855.85250708181
GIN,1990,548.371534819426
GRC,1990,15438.7937023583
GTM,1990,2741.53813375037
HKG,1990,21357.261954163
HND,1990,457.981040092588
HRV,1990,9754.64902543885
HUN,1990,8646.44754431988
IDN,1990,1470.91822258528
IND,1990,537.870269533789
IRL,1990,23456.999356198
IRN,1990,3222.20102704479
IRQ,1990,3526.57925126853
ISR,1990,22395.1118825784
ITA,1990,27625.1792306413
JAM,1990,4773.62848195303
JOR,1990,3202.33686003165
JPN,1990,28422.2131194472
KAZ,1990,5557.08215736977
KEN,1990,1329.33312766232
KGZ,1990,1203.47208279448
KHM,1990,824.051655825487
KOR,1990,9672.57845182894
KWT,1990,20140.7834697754
LAO,1990,634.525297009385
LBN,1990,2752.72442253257
LBR,1990,754.134009462384
LBY,1990,11085.9439949716
LKA,1990,1388.58951823335
LTU,1990,8333.3507070025
MAR,1990,1695.63647460938
MDA,1990,3740.10149814887
MDG,1990,538.536275056569
MEX,1990,8036.86114412537
MKD,1990,3534.32265095546
MLI,1990,589.775405883669
MMR,1990,170.233436728781
MNG,1990,1823.45623781461
MOZ,1990,221.048981086396
MRT,1990,1437.75048235693
MWI,1990,353.771303717595
MYS,1990,4184.76072928976
NAM,1990,2857.33777498196
NER,1990,465.923889536505
NGA,1990,1577.19616627741
NIC,1990,1260.87382799969
NLD,1990,31308.9134208148
NOR,1990,49937.4557649197
NZL,1990,26395.6955991067
OMN,1990,16629.4556601528
PAK,1990,950.884644833285
PAN,1990,4828.75877741909
PER,1990,2706.92253156841
PHL,1990,1704.07568899121
PNG,1990,1892.30679279448
POL,1990,5111.3453296443
PRT,1990,14593.2706053569
PRY,1990,4059.77343113365
QAT,1990,40125.3967011798
ROU,1990,5019.43702748333
RUS,1990,7849.51904296875
SAU,1990,25918.9650837526
SDN,1990,764.450439453125
SEN,1990,990.777522619822
SGP,1990,23272.7000932159
SLV,1990,2348.20460167761
SVK,1990,8597.46391527645
SVN,1990,13615.5858551079
SWE,1990,34903.3480401006
TCD,1990,602.670685766624
TGO,1990,703.623952029279
THA,1990,2631.51971095863
TKM,1990,3495.74838854006
TUN,1990,2114.47034536085
TUR,1990,5188.18244439241
TZA,1990,541.544799804688
UGA,1990,369.839286985576
